
---------- Begin Simulation Statistics ----------
simSeconds                                   0.017116                       # Number of seconds simulated (Second)
simTicks                                  17115633000                       # Number of ticks simulated (Tick)
finalTick                                 17115633000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    243.98                       # Real time elapsed on the host (Second)
hostTickRate                                 70152523                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     800764                       # Number of bytes of host memory used (Byte)
simInsts                                     81135555                       # Number of instructions simulated (Count)
simOps                                      124811822                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   332553                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     511571                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         34231267                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       126694069                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       61                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      126205991                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    788                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1882302                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2527942                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  61                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            34190805                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.691226                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.755708                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2915431      8.53%      8.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1122280      3.28%     11.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2686810      7.86%     19.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7841450     22.93%     42.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7183330     21.01%     63.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9218892     26.96%     90.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1748511      5.11%     95.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    925913      2.71%     98.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    548188      1.60%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              34190805                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
